Index,Variant,"Region, subregion, country or area *",Notes,Country code,Type,Parent code,1950-1955,1955-1960,1960-1965,1965-1970,1970-1975,1975-1980,1980-1985,1985-1990,1990-1995,1995-2000,2000-2005,2005-2010,2010-2015,2015-2020,2020-2025,2025-2030,2030-2035,2035-2040,2040-2045,2045-2050,2050-2055,2055-2060,2060-2065,2065-2070,2070-2075,2075-2080,2080-2085,2085-2090,2090-2095,2095-2100
57,Estimates,Southern Africa,,913,Subregion,947,3480.238,3839.1,4241.383,4662.046,5187.55,5639.004,6385.894,6669.09,6339.331,6113.013,6257.089,6865.607,7098.955,6990.953,6839.302,6748.277,6734.369,6737.297,6663.878,6545.917,6399.728,6254.166,6135.257,6018.864,5903.352,5779.695,5643.956,5519.595,5407.469,5298.634
58,Estimates,Botswana,,72,Country,913,103.781,115.232,123.925,135.568,152.958,182.416,211.229,218.67,228.217,232.273,250.606,266.859,281.927,280.786,273.934,273.691,277.906,281.84,280.743,275.34,269.541,264.367,260.919,257.641,252.689,247.332,241.801,236.709,232.525,228.661
59,Estimates,Eswatini,,748,Country,913,69.208,75.965,84.93,98.583,117.791,134.794,154.693,156.497,162.702,161.165,162.135,167.272,154.851,151.207,144.11,144.113,149.14,153.93,154.091,150.62,147.369,145.613,144.51,143.118,140.516,137.704,134.924,132.842,131.056,129.234
60,Estimates,Lesotho,,426,Country,913,157.882,172.989,189.844,213.818,242.899,271.227,293.658,300.474,297.832,304.069,313.128,295.905,288.118,283.944,271.813,261.226,255.379,252.287,249.094,243.487,236.506,229.016,221.094,212.028,203.727,195.495,186.167,177.883,169.075,160.43
61,Estimates,Namibia,,516,Country,913,116.701,127.642,141.724,160.814,193.994,213.614,230.604,256.81,277.963,283.004,273.113,304.488,338.352,350.047,351.049,352.642,359.719,368.957,377.429,382.195,380.323,375.383,372.564,368.903,365.96,362.073,354.633,346.709,339.237,332.214
62,Estimates,South Africa,,710,Country,913,3032.666,3347.272,3700.96,4053.263,4479.908,4836.953,5495.71,5736.639,5372.617,5132.502,5258.107,5831.083,6035.707,5924.969,5798.396,5716.605,5692.225,5680.283,5602.521,5494.275,5365.989,5239.787,5136.17,5037.174,4940.46,4837.091,4726.431,4625.452,4535.576,4448.095
63,Estimates,Western Africa,,914,Subregion,947,17536.267,19298.536,21382.302,23739.338,26985.754,30793.751,34729.109,38522.227,42680.425,47776.279,53499.482,59363.689,65346.167,70423.321,75937.969,81903.089,87873.548,93491.904,98443.752,102666.578,106562.942,109820.01,112779.788,115173.475,117039.573,118305.602,118872.055,118958.194,118668.441,118000.333
64,Estimates,Benin,,204,Country,914,465.125,510.305,573.858,645.193,725.579,826.119,943.423,1078.287,1231.625,1384.385,1538.805,1719.855,1899.774,2065.662,2241.275,2424.222,2604.124,2774.413,2931.317,3079.737,3222.948,3362.4,3482.54,3592.656,3679.89,3746.803,3810.747,3854.765,3873.722,3867.871
65,Estimates,Burkina Faso,,854,Country,914,1037.684,1106.537,1179.264,1283.676,1399.367,1584.349,1782.105,1976.106,2227.497,2531.724,2854.123,3173.477,3437.548,3724.647,4029.135,4364.798,4694.265,4992.217,5247.757,5478.143,5670.958,5871.644,6053.399,6184.847,6287.666,6338.437,6370.614,6371.863,6348.844,6294.713
66,Estimates,Cabo Verde,,132,Country,914,45.634,48.291,50.772,53.803,54.726,56.217,62.67,68.632,69.07,61.246,57.775,55.285,55.26,53.195,50.19,46.95,44.734,43.201,41.84,40.287,38.627,36.964,35.368,34.11,32.866,31.713,30.541,29.383,28.293,27.323
67,Estimates,C?te d'Ivoire,,384,Country,914,794.701,903.303,1029.916,1202.415,1461.916,1806.832,2101.539,2415.375,2774.784,3190.711,3507.143,3698.896,4039.215,4451.418,4831.462,5199.252,5546.113,5897.074,6242.332,6573.366,6879.525,7154.268,7398.385,7615.966,7809.965,7971.518,8080.624,8149.025,8193.136,8193.844
68,Estimates,Gambia,,270,Country,914,78.765,85.737,93.043,104.309,118.708,140.528,161.899,202.039,240.972,266.99,300.287,343.716,392.02,436.224,471.407,502.056,528.171,551.924,571.569,586.795,596.133,602.33,606.605,606.492,606.234,603.575,598.108,589.627,579.288,569.781
69,Estimates,Ghana,,288,Country,914,1202.36,1438.776,1714.391,1939.295,2114.244,2275.081,2526.236,2842.839,3075.303,3345.304,3546.011,3836.176,4177.807,4356.347,4535.311,4712.081,4901.033,5093.54,5274.158,5415.666,5510.575,5582.045,5640.313,5672.99,5708.348,5684.202,5640.088,5560.613,5483.944,5387.53
70,Estimates,Guinea,,324,Country,914,734.53,781.656,831.786,899.814,992.979,1109.948,1255.689,1436.126,1610.647,1755.794,1869.254,1969.637,2088.808,2245.115,2431.992,2598.962,2738.471,2859.802,2971.764,3081.659,3179.942,3258.724,3328.78,3377.526,3409.956,3422.716,3417.239,3413.771,3375.099,3340.715
71,Estimates,Guinea-Bissau,,624,Country,914,127.8,128.791,133.009,142.664,159.944,180.024,207.243,220.901,234.735,244.61,261.954,285.725,310.532,327.805,341.46,355.864,371.714,387.016,402.489,413.409,421.799,427.747,433.671,436.878,438.853,437.868,435.616,430.689,424.939,417.991
72,Estimates,Liberia,,430,Country,914,227.949,257.785,288.559,320.592,365.536,420.493,483.237,492.571,455.579,535.533,631.882,686.361,744.171,791.483,849.588,905.652,955.191,998.306,1035.925,1066.714,1095.515,1119.808,1139.541,1150.135,1155.651,1152.288,1146.688,1135.139,1121.575,1100.287
73,Estimates,Mali,,466,Country,914,1250.531,1292.323,1356.782,1447.22,1565.297,1694.616,1841.366,1981.996,2205.621,2499.916,2889.663,3318.561,3634.677,3937.479,4309.099,4720.338,5092.393,5417.945,5660.521,5869.542,6052.664,6193.635,6308.195,6386.898,6403.265,6414.459,6379.28,6301.994,6215.902,6120.361
74,Estimates,Mauritania,,478,Country,914,168.329,197.455,222.725,250.316,282.57,317.069,353.752,392.588,427.756,476.254,533.561,600.91,677.593,736.369,791.675,846.999,903.655,964.447,1023.494,1079.734,1129.498,1173.629,1215.411,1257.245,1292.184,1326.159,1351.567,1370.562,1386.387,1393.486
75,Estimates,Niger,,562,Country,914,788.912,916.466,1063.717,1212.494,1367.59,1574.271,1831.61,2084.452,2415.536,2820.572,3290.771,3820.789,4442.609,5114.131,5895.999,6753.934,7647.43,8522.492,9356.905,10136.24,10862.669,11511.736,12109.57,12627.82,13053.468,13390.072,13668.06,13893.827,13988.822,14024.187
76,Estimates,Nigeria,,566,Country,914,9104.91,9989.421,11012.38,12155.238,14003.14,16155.725,18197.588,20078.765,22221.249,24908.514,28044.57,31181.18,34405.937,36886.425,39582.464,42575.119,45606.484,48417.856,50829.294,52753.263,54606.257,56034.467,57371.763,58428.958,59262.824,59814.095,59942.969,59867.544,59697.266,59373.503
